,cell_type,batch,condition,donor,n_counts
cell_01480,T_cell,batch_1,disease,donor_3,1366
cell_01481,T_cell,batch_0,healthy,donor_2,1310
cell_01482,T_cell,batch_2,healthy,donor_4,1342
cell_01483,T_cell,batch_1,healthy,donor_0,1316
cell_01484,T_cell,batch_2,disease,donor_0,1364
cell_01485,T_cell,batch_2,healthy,donor_0,1541
cell_01486,T_cell,batch_0,healthy,donor_2,1401
cell_01487,T_cell,batch_1,healthy,donor_1,1276
cell_01488,T_cell,batch_2,healthy,donor_3,1378
cell_01489,T_cell,batch_2,healthy,donor_2,1358
cell_01490,T_cell,batch_2,healthy,donor_2,1452
cell_01491,T_cell,batch_1,healthy,donor_1,1337
cell_01492,T_cell,batch_0,healthy,donor_5,1235
cell_01493,T_cell,batch_2,healthy,donor_4,1267
cell_01494,T_cell,batch_1,healthy,donor_5,1213
cell_01495,T_cell,batch_2,disease,donor_1,1355
cell_01496,T_cell,batch_0,healthy,donor_3,1397
cell_01497,T_cell,batch_2,healthy,donor_0,1312
cell_01498,T_cell,batch_0,healthy,donor_4,1160
cell_01499,T_cell,batch_2,healthy,donor_1,1274
cell_01500,B_cell,batch_2,healthy,donor_0,1293
cell_01501,B_cell,batch_0,disease,donor_0,1411
cell_01502,B_cell,batch_2,disease,donor_2,1288
cell_01503,B_cell,batch_2,disease,donor_1,1248
cell_01504,B_cell,batch_2,healthy,donor_4,1293
cell_01505,B_cell,batch_1,healthy,donor_1,1412
cell_01506,B_cell,batch_2,healthy,donor_5,1295
cell_01507,B_cell,batch_1,healthy,donor_5,1223
cell_01508,B_cell,batch_2,healthy,donor_5,1233
cell_01509,B_cell,batch_2,healthy,donor_4,1491
cell_01510,B_cell,batch_0,healthy,donor_4,1300
cell_01511,B_cell,batch_2,healthy,donor_4,1490
cell_01512,B_cell,batch_0,healthy,donor_5,1241
cell_01513,B_cell,batch_1,disease,donor_5,1481
cell_01514,B_cell,batch_1,healthy,donor_3,1152
cell_01515,B_cell,batch_0,disease,donor_1,1220
cell_01516,B_cell,batch_0,healthy,donor_3,1203
cell_01517,B_cell,batch_0,healthy,donor_1,1483
cell_01518,B_cell,batch_2,healthy,donor_2,1357
cell_01519,B_cell,batch_2,healthy,donor_3,1319
cell_01520,B_cell,batch_1,healthy,donor_4,1253
cell_01521,B_cell,batch_1,disease,donor_2,1402
cell_01522,B_cell,batch_1,disease,donor_0,1363
cell_01523,B_cell,batch_0,disease,donor_5,1076
cell_01524,B_cell,batch_2,healthy,donor_0,1280
cell_01525,B_cell,batch_1,disease,donor_4,1245
cell_01526,B_cell,batch_1,healthy,donor_0,1345
cell_01527,B_cell,batch_0,healthy,donor_5,1305
cell_01528,B_cell,batch_1,healthy,donor_3,1183
cell_01529,B_cell,batch_0,disease,donor_3,1309
cell_01530,B_cell,batch_0,disease,donor_1,1451
cell_01531,B_cell,batch_0,disease,donor_1,1314
cell_01532,B_cell,batch_1,healthy,donor_2,1288
cell_01533,B_cell,batch_1,healthy,donor_0,1310
cell_01534,B_cell,batch_2,healthy,donor_0,1257
cell_01535,B_cell,batch_0,disease,donor_3,1401
cell_01536,B_cell,batch_2,disease,donor_0,1416
cell_01537,B_cell,batch_1,disease,donor_5,1313
cell_01538,B_cell,batch_0,healthy,donor_1,1298
cell_01539,B_cell,batch_1,healthy,donor_4,1200
cell_01540,B_cell,batch_1,disease,donor_0,1397
cell_01541,B_cell,batch_2,healthy,donor_5,1236
cell_01542,B_cell,batch_1,disease,donor_3,1113
cell_01543,B_cell,batch_1,healthy,donor_5,1243
cell_01544,B_cell,batch_2,healthy,donor_4,1299
cell_01545,B_cell,batch_2,healthy,donor_4,1219
cell_01546,B_cell,batch_1,healthy,donor_3,1335
cell_01547,B_cell,batch_0,disease,donor_0,1259
cell_01548,B_cell,batch_0,healthy,donor_3,1361
cell_01549,B_cell,batch_1,healthy,donor_3,1443
cell_01550,B_cell,batch_2,disease,donor_0,1167
cell_01551,B_cell,batch_0,healthy,donor_5,1389
cell_01552,B_cell,batch_0,healthy,donor_3,1264
cell_01553,B_cell,batch_0,disease,donor_2,1315
cell_01554,B_cell,batch_0,disease,donor_5,1368
cell_01555,B_cell,batch_2,disease,donor_1,1291
cell_01556,B_cell,batch_0,disease,donor_5,1304
cell_01557,B_cell,batch_0,healthy,donor_5,1313
cell_01558,B_cell,batch_2,healthy,donor_1,1524
cell_01559,B_cell,batch_0,healthy,donor_5,1371
cell_01560,B_cell,batch_0,healthy,donor_1,1201
cell_01561,B_cell,batch_0,healthy,donor_0,1386
cell_01562,B_cell,batch_1,healthy,donor_3,1487
cell_01563,B_cell,batch_0,disease,donor_3,1509
cell_01564,B_cell,batch_1,healthy,donor_5,1347
cell_01565,B_cell,batch_0,healthy,donor_1,1242
cell_01566,B_cell,batch_0,healthy,donor_3,1202
cell_01567,B_cell,batch_0,disease,donor_2,1223
cell_01568,B_cell,batch_0,healthy,donor_2,1408
cell_01569,B_cell,batch_1,healthy,donor_5,1205
cell_01570,B_cell,batch_0,healthy,donor_5,1351
cell_01571,B_cell,batch_0,disease,donor_2,1241
cell_01572,B_cell,batch_1,disease,donor_3,1309
cell_01573,B_cell,batch_1,healthy,donor_3,1224
cell_01574,B_cell,batch_0,healthy,donor_5,1574
cell_01575,B_cell,batch_2,healthy,donor_1,1286
cell_01576,B_cell,batch_0,healthy,donor_1,1364
cell_01577,B_cell,batch_2,healthy,donor_4,1315
cell_01578,B_cell,batch_0,healthy,donor_2,1385
cell_01579,B_cell,batch_2,healthy,donor_3,1357
cell_01580,B_cell,batch_0,disease,donor_4,1400
cell_01581,B_cell,batch_1,healthy,donor_4,1282
cell_01582,B_cell,batch_1,healthy,donor_1,1500
cell_01583,B_cell,batch_2,healthy,donor_4,1554
cell_01584,B_cell,batch_2,healthy,donor_0,1307
cell_01585,B_cell,batch_2,healthy,donor_5,1338
cell_01586,B_cell,batch_1,healthy,donor_3,1457
cell_01587,B_cell,batch_1,healthy,donor_0,1234
cell_01588,B_cell,batch_1,healthy,donor_3,1223
cell_01589,B_cell,batch_1,healthy,donor_4,1484
cell_01590,B_cell,batch_1,disease,donor_0,1260
cell_01591,B_cell,batch_1,disease,donor_0,1273
cell_01592,B_cell,batch_0,disease,donor_5,1280
cell_01593,B_cell,batch_1,disease,donor_0,1400
cell_01594,B_cell,batch_1,healthy,donor_3,1333
cell_01595,B_cell,batch_2,disease,donor_4,1239
cell_01596,B_cell,batch_0,disease,donor_5,1445
cell_01597,B_cell,batch_2,healthy,donor_2,1378
cell_01598,B_cell,batch_2,healthy,donor_3,1330
cell_01599,B_cell,batch_1,healthy,donor_4,1249
cell_01600,B_cell,batch_2,disease,donor_5,1365
cell_01601,B_cell,batch_2,disease,donor_1,1528
cell_01602,B_cell,batch_2,disease,donor_2,1356
cell_01603,B_cell,batch_0,healthy,donor_5,1288
cell_01604,B_cell,batch_2,healthy,donor_3,1309
cell_01605,B_cell,batch_0,disease,donor_2,1274
cell_01606,B_cell,batch_1,healthy,donor_4,1491
cell_01607,B_cell,batch_2,healthy,donor_1,1188
cell_01608,B_cell,batch_2,disease,donor_4,1354
cell_01609,B_cell,batch_0,healthy,donor_2,1303
cell_01610,B_cell,batch_1,healthy,donor_4,1316
cell_01611,B_cell,batch_2,disease,donor_5,1342
cell_01612,B_cell,batch_0,disease,donor_1,1178
cell_01613,B_cell,batch_2,disease,donor_1,1380
cell_01614,B_cell,batch_1,healthy,donor_3,1267
cell_01615,B_cell,batch_1,healthy,donor_5,1148
cell_01616,B_cell,batch_2,healthy,donor_5,1208
cell_01617,B_cell,batch_0,disease,donor_1,1411
cell_01618,B_cell,batch_1,healthy,donor_4,1200
cell_01619,B_cell,batch_1,disease,donor_0,1244
cell_01620,B_cell,batch_0,healthy,donor_4,1449
cell_01621,B_cell,batch_0,disease,donor_0,1345
cell_01622,B_cell,batch_1,disease,donor_4,1194
cell_01623,B_cell,batch_1,healthy,donor_0,1458
cell_01624,B_cell,batch_0,healthy,donor_5,1253
cell_01625,B_cell,batch_2,healthy,donor_5,1276
cell_01626,B_cell,batch_2,healthy,donor_4,1273
cell_01627,B_cell,batch_2,healthy,donor_3,1310
cell_01628,B_cell,batch_1,healthy,donor_2,1447
cell_01629,B_cell,batch_2,healthy,donor_5,1364
cell_01630,B_cell,batch_0,healthy,donor_0,1609
cell_01631,B_cell,batch_0,disease,donor_1,1398
cell_01632,B_cell,batch_0,healthy,donor_2,1245
cell_01633,B_cell,batch_2,disease,donor_0,1502
cell_01634,B_cell,batch_0,healthy,donor_3,1291
cell_01635,B_cell,batch_1,disease,donor_0,1387
cell_01636,B_cell,batch_1,healthy,donor_4,1186
cell_01637,B_cell,batch_2,disease,donor_3,1400
cell_01638,B_cell,batch_1,healthy,donor_1,1283
cell_01639,B_cell,batch_1,disease,donor_3,1216
cell_01640,B_cell,batch_1,healthy,donor_0,1342
cell_01641,B_cell,batch_1,healthy,donor_3,1316
cell_01642,B_cell,batch_2,healthy,donor_2,1374
cell_01643,B_cell,batch_0,healthy,donor_0,1224
cell_01644,B_cell,batch_0,disease,donor_1,1321
cell_01645,B_cell,batch_1,healthy,donor_5,1291
cell_01646,B_cell,batch_2,disease,donor_3,1212
cell_01647,B_cell,batch_0,healthy,donor_2,1143
cell_01648,B_cell,batch_0,healthy,donor_3,1503
cell_01649,B_cell,batch_0,disease,donor_0,1287
cell_01650,B_cell,batch_2,healthy,donor_4,1291
cell_01651,B_cell,batch_2,healthy,donor_3,1490
cell_01652,B_cell,batch_1,disease,donor_1,1190
cell_01653,B_cell,batch_1,disease,donor_5,1412
cell_01654,B_cell,batch_2,disease,donor_0,1398
cell_01655,B_cell,batch_0,disease,donor_1,1434
cell_01656,B_cell,batch_0,healthy,donor_0,1421
cell_01657,B_cell,batch_0,healthy,donor_4,1396
cell_01658,B_cell,batch_2,disease,donor_5,1237
cell_01659,B_cell,batch_2,disease,donor_5,1454
cell_01660,B_cell,batch_2,disease,donor_5,1293
cell_01661,B_cell,batch_1,healthy,donor_0,1240
cell_01662,B_cell,batch_0,disease,donor_5,1357
cell_01663,B_cell,batch_2,disease,donor_2,1502
cell_01664,B_cell,batch_1,healthy,donor_5,1301
cell_01665,B_cell,batch_0,healthy,donor_5,1213
cell_01666,B_cell,batch_1,healthy,donor_0,1218
cell_01667,B_cell,batch_2,disease,donor_0,1385
cell_01668,B_cell,batch_2,disease,donor_0,1440
cell_01669,B_cell,batch_2,healthy,donor_5,1415
cell_01670,B_cell,batch_1,disease,donor_2,1276
cell_01671,B_cell,batch_2,healthy,donor_1,1299
cell_01672,B_cell,batch_2,disease,donor_2,1309
cell_01673,B_cell,batch_0,disease,donor_5,1188
cell_01674,B_cell,batch_0,disease,donor_3,1433
cell_01675,B_cell,batch_0,healthy,donor_5,1199
cell_01676,B_cell,batch_0,disease,donor_0,1332
cell_01677,B_cell,batch_2,healthy,donor_4,1068
cell_01678,B_cell,batch_1,disease,donor_4,1248
cell_01679,B_cell,batch_0,healthy,donor_4,1117
cell_01680,B_cell,batch_2,disease,donor_0,1204
cell_01681,B_cell,batch_0,healthy,donor_5,1185
cell_01682,B_cell,batch_0,healthy,donor_2,1278
cell_01683,B_cell,batch_1,healthy,donor_2,1259
cell_01684,B_cell,batch_0,disease,donor_0,1231
cell_01685,B_cell,batch_0,disease,donor_5,1307
cell_01686,B_cell,batch_2,disease,donor_1,1466
cell_01687,B_cell,batch_2,disease,donor_4,1266
cell_01688,B_cell,batch_0,disease,donor_3,1134
cell_01689,B_cell,batch_2,healthy,donor_3,1281
cell_01690,B_cell,batch_1,healthy,donor_2,1232
cell_01691,B_cell,batch_1,healthy,donor_0,1430
cell_01692,B_cell,batch_0,healthy,donor_0,1318
cell_01693,B_cell,batch_2,disease,donor_3,1230
cell_01694,B_cell,batch_2,healthy,donor_2,1361
cell_01695,B_cell,batch_2,healthy,donor_3,1339
cell_01696,B_cell,batch_2,disease,donor_2,1137
cell_01697,B_cell,batch_0,disease,donor_2,1448
cell_01698,B_cell,batch_1,disease,donor_5,1216
cell_01699,B_cell,batch_2,disease,donor_5,1333
cell_01700,B_cell,batch_1,healthy,donor_2,1407
cell_01701,B_cell,batch_0,disease,donor_0,1203
cell_01702,B_cell,batch_1,healthy,donor_3,1389
cell_01703,B_cell,batch_1,healthy,donor_5,1252
cell_01704,B_cell,batch_0,disease,donor_0,1287
cell_01705,B_cell,batch_1,disease,donor_1,1238
cell_01706,B_cell,batch_0,healthy,donor_0,1406
cell_01707,B_cell,batch_2,healthy,donor_4,1381
cell_01708,B_cell,batch_1,disease,donor_1,1267
cell_01709,B_cell,batch_2,disease,donor_0,1360
cell_01710,B_cell,batch_1,healthy,donor_3,1462
cell_01711,B_cell,batch_0,healthy,donor_4,1269
cell_01712,B_cell,batch_0,healthy,donor_3,1280
cell_01713,B_cell,batch_2,healthy,donor_0,1248
cell_01714,B_cell,batch_1,healthy,donor_3,1411
cell_01715,B_cell,batch_1,healthy,donor_3,1115
cell_01716,B_cell,batch_0,disease,donor_5,1305
cell_01717,B_cell,batch_1,healthy,donor_4,1322
cell_01718,B_cell,batch_1,healthy,donor_5,1260
cell_01719,B_cell,batch_0,disease,donor_0,1435
cell_01720,B_cell,batch_0,healthy,donor_4,1151
cell_01721,B_cell,batch_0,disease,donor_2,1268
cell_01722,B_cell,batch_1,healthy,donor_2,1377
cell_01723,B_cell,batch_0,disease,donor_0,1345
cell_01724,B_cell,batch_1,healthy,donor_3,1400
cell_01725,B_cell,batch_1,disease,donor_3,1279
cell_01726,B_cell,batch_1,healthy,donor_0,1480
cell_01727,B_cell,batch_1,healthy,donor_1,1463
cell_01728,B_cell,batch_1,healthy,donor_2,1287
cell_01729,B_cell,batch_0,disease,donor_4,1287
cell_01730,B_cell,batch_0,healthy,donor_0,1367
cell_01731,B_cell,batch_0,healthy,donor_4,1357
cell_01732,B_cell,batch_2,healthy,donor_2,1280
cell_01733,B_cell,batch_0,healthy,donor_2,1280
cell_01734,B_cell,batch_0,healthy,donor_1,1351
cell_01735,B_cell,batch_0,disease,donor_3,1310
cell_01736,B_cell,batch_0,healthy,donor_3,1408
cell_01737,B_cell,batch_2,disease,donor_2,1325
cell_01738,B_cell,batch_0,disease,donor_1,1384
cell_01739,B_cell,batch_0,disease,donor_0,1365
cell_01740,B_cell,batch_1,disease,donor_4,1191
cell_01741,B_cell,batch_0,disease,donor_4,1316
cell_01742,B_cell,batch_1,disease,donor_0,1259
cell_01743,B_cell,batch_1,healthy,donor_1,1241
cell_01744,B_cell,batch_0,healthy,donor_0,1408
cell_01745,B_cell,batch_0,disease,donor_4,1238
cell_01746,B_cell,batch_2,healthy,donor_4,1329
cell_01747,B_cell,batch_1,healthy,donor_2,1381
cell_01748,B_cell,batch_1,healthy,donor_1,1301
cell_01749,B_cell,batch_2,healthy,donor_5,1503
cell_01750,B_cell,batch_0,disease,donor_2,1291
cell_01751,B_cell,batch_0,disease,donor_0,1252
cell_01752,B_cell,batch_2,disease,donor_1,1376
cell_01753,B_cell,batch_1,healthy,donor_1,1386
cell_01754,B_cell,batch_0,disease,donor_4,1149
cell_01755,B_cell,batch_0,healthy,donor_4,1365
cell_01756,B_cell,batch_1,healthy,donor_0,1454
cell_01757,B_cell,batch_0,disease,donor_3,1212
cell_01758,B_cell,batch_0,healthy,donor_3,1420
cell_01759,B_cell,batch_2,healthy,donor_2,1327
cell_01760,B_cell,batch_0,healthy,donor_5,1266
cell_01761,B_cell,batch_1,healthy,donor_3,1327
cell_01762,B_cell,batch_1,healthy,donor_4,1347
cell_01763,B_cell,batch_0,healthy,donor_5,1191
cell_01764,B_cell,batch_1,healthy,donor_1,1300
cell_01765,B_cell,batch_1,disease,donor_5,1228
cell_01766,B_cell,batch_0,healthy,donor_3,1308
cell_01767,B_cell,batch_0,disease,donor_1,1263
cell_01768,B_cell,batch_2,disease,donor_5,1365
cell_01769,B_cell,batch_1,healthy,donor_3,1264
cell_01770,B_cell,batch_1,healthy,donor_4,1263
cell_01771,B_cell,batch_0,healthy,donor_3,1205
cell_01772,B_cell,batch_2,disease,donor_1,1297
cell_01773,B_cell,batch_0,healthy,donor_5,1378
cell_01774,B_cell,batch_1,healthy,donor_3,1190
cell_01775,B_cell,batch_2,healthy,donor_1,1306
cell_01776,B_cell,batch_2,disease,donor_2,1239
cell_01777,B_cell,batch_2,healthy,donor_4,1169
cell_01778,B_cell,batch_2,disease,donor_3,1365
cell_01779,B_cell,batch_2,disease,donor_4,1215
cell_01780,B_cell,batch_0,healthy,donor_3,1297
cell_01781,B_cell,batch_1,healthy,donor_3,1300
cell_01782,B_cell,batch_0,healthy,donor_4,1181
cell_01783,B_cell,batch_1,disease,donor_4,1168
cell_01784,B_cell,batch_0,healthy,donor_0,1260
cell_01785,B_cell,batch_1,healthy,donor_1,1302
cell_01786,B_cell,batch_0,disease,donor_3,1275
cell_01787,B_cell,batch_1,disease,donor_1,1303
cell_01788,B_cell,batch_0,healthy,donor_5,1287
cell_01789,B_cell,batch_1,healthy,donor_3,1412
cell_01790,B_cell,batch_2,disease,donor_4,1337
cell_01791,B_cell,batch_0,healthy,donor_1,1226
cell_01792,B_cell,batch_1,disease,donor_4,1050
cell_01793,B_cell,batch_2,disease,donor_1,1261
cell_01794,B_cell,batch_0,disease,donor_1,1173
cell_01795,B_cell,batch_1,healthy,donor_3,1348
cell_01796,B_cell,batch_0,healthy,donor_0,1280
cell_01797,B_cell,batch_2,healthy,donor_4,1254
cell_01798,B_cell,batch_1,disease,donor_3,1308
cell_01799,B_cell,batch_2,healthy,donor_2,1350
cell_01800,B_cell,batch_0,healthy,donor_2,1298
cell_01801,B_cell,batch_2,healthy,donor_5,1370
cell_01802,B_cell,batch_2,disease,donor_2,1280
cell_01803,B_cell,batch_2,healthy,donor_2,1424
cell_01804,B_cell,batch_2,healthy,donor_4,1198
cell_01805,B_cell,batch_1,healthy,donor_5,1401
cell_01806,B_cell,batch_0,healthy,donor_1,1341
cell_01807,B_cell,batch_1,healthy,donor_5,1445
cell_01808,B_cell,batch_2,disease,donor_4,1278
cell_01809,B_cell,batch_0,healthy,donor_3,1406
cell_01810,B_cell,batch_2,healthy,donor_5,1371
cell_01811,B_cell,batch_2,disease,donor_5,1201
cell_01812,B_cell,batch_0,healthy,donor_0,1256
cell_01813,B_cell,batch_1,disease,donor_2,1229
cell_01814,B_cell,batch_1,disease,donor_3,1286
cell_01815,B_cell,batch_1,healthy,donor_4,1293
cell_01816,B_cell,batch_0,healthy,donor_2,1251
cell_01817,B_cell,batch_1,disease,donor_4,1456
cell_01818,B_cell,batch_0,healthy,donor_1,1501
cell_01819,B_cell,batch_0,disease,donor_5,1255
cell_01820,B_cell,batch_2,healthy,donor_5,1262
cell_01821,B_cell,batch_0,healthy,donor_1,1404
cell_01822,B_cell,batch_1,disease,donor_4,1238
cell_01823,B_cell,batch_0,disease,donor_1,1290
cell_01824,B_cell,batch_0,healthy,donor_3,1274
cell_01825,B_cell,batch_1,disease,donor_0,1222
cell_01826,B_cell,batch_2,healthy,donor_4,1273
cell_01827,B_cell,batch_0,healthy,donor_2,1329
cell_01828,B_cell,batch_1,healthy,donor_5,1279
cell_01829,B_cell,batch_0,healthy,donor_2,1409
cell_01830,B_cell,batch_1,healthy,donor_4,1239
cell_01831,B_cell,batch_1,healthy,donor_2,1345
cell_01832,B_cell,batch_2,healthy,donor_0,1335
cell_01833,B_cell,batch_0,disease,donor_4,1414
cell_01834,B_cell,batch_0,healthy,donor_1,1190
cell_01835,B_cell,batch_0,healthy,donor_2,1414
cell_01836,B_cell,batch_2,disease,donor_0,1427
cell_01837,B_cell,batch_2,disease,donor_3,1291
cell_01838,B_cell,batch_2,healthy,donor_5,1312
cell_01839,B_cell,batch_2,healthy,donor_3,1253
cell_01840,B_cell,batch_0,healthy,donor_4,1225
cell_01841,B_cell,batch_0,healthy,donor_0,1334
cell_01842,B_cell,batch_0,disease,donor_0,1251
cell_01843,B_cell,batch_1,disease,donor_2,1307
cell_01844,B_cell,batch_2,disease,donor_4,1413
cell_01845,B_cell,batch_1,healthy,donor_1,1265
cell_01846,B_cell,batch_0,healthy,donor_4,1312
cell_01847,B_cell,batch_1,disease,donor_1,1446
cell_01848,B_cell,batch_1,healthy,donor_4,1212
cell_01849,B_cell,batch_2,disease,donor_3,1252
cell_01850,B_cell,batch_1,healthy,donor_2,1303
cell_01851,B_cell,batch_0,disease,donor_4,1452
cell_01852,B_cell,batch_1,healthy,donor_3,1170
cell_01853,B_cell,batch_2,healthy,donor_0,1377
cell_01854,B_cell,batch_0,healthy,donor_5,1364
cell_01855,B_cell,batch_0,healthy,donor_1,1173
cell_01856,B_cell,batch_1,healthy,donor_1,1298
cell_01857,B_cell,batch_1,healthy,donor_1,1313
cell_01858,B_cell,batch_0,disease,donor_4,1229
cell_01859,B_cell,batch_2,healthy,donor_2,1444
cell_01860,B_cell,batch_1,healthy,donor_2,1149
cell_01861,B_cell,batch_1,disease,donor_5,1262
cell_01862,B_cell,batch_2,healthy,donor_4,1283
cell_01863,B_cell,batch_1,disease,donor_4,1421
cell_01864,B_cell,batch_2,disease,donor_3,1279
cell_01865,B_cell,batch_0,disease,donor_5,1310
cell_01866,B_cell,batch_1,healthy,donor_2,1458
cell_01867,B_cell,batch_2,healthy,donor_5,1435
cell_01868,B_cell,batch_2,healthy,donor_5,1251
cell_01869,B_cell,batch_1,healthy,donor_3,1173
cell_01870,B_cell,batch_0,disease,donor_0,1246
cell_01871,B_cell,batch_1,healthy,donor_5,1194
cell_01872,B_cell,batch_2,healthy,donor_4,1386
cell_01873,B_cell,batch_2,disease,donor_3,1284
cell_01874,B_cell,batch_0,healthy,donor_5,1234
cell_01875,B_cell,batch_0,healthy,donor_3,1243
cell_01876,B_cell,batch_2,disease,donor_2,1308
cell_01877,B_cell,batch_2,disease,donor_2,1357
cell_01878,B_cell,batch_0,healthy,donor_3,1222
cell_01879,B_cell,batch_0,healthy,donor_1,1173
cell_01880,B_cell,batch_2,disease,donor_0,1372
cell_01881,B_cell,batch_0,disease,donor_5,1341
cell_01882,B_cell,batch_2,healthy,donor_5,1491
cell_01883,B_cell,batch_1,disease,donor_3,1460
cell_01884,B_cell,batch_2,healthy,donor_4,1228
cell_01885,B_cell,batch_0,healthy,donor_3,1323
cell_01886,B_cell,batch_1,healthy,donor_0,1351
cell_01887,B_cell,batch_2,disease,donor_5,1404
cell_01888,B_cell,batch_0,healthy,donor_4,1585
cell_01889,B_cell,batch_1,healthy,donor_0,1321
cell_01890,B_cell,batch_2,disease,donor_1,1309
cell_01891,B_cell,batch_1,healthy,donor_3,1386
cell_01892,B_cell,batch_1,disease,donor_3,1389
cell_01893,B_cell,batch_1,disease,donor_4,1298
cell_01894,B_cell,batch_1,healthy,donor_1,1450
cell_01895,B_cell,batch_0,healthy,donor_3,1234
cell_01896,B_cell,batch_0,disease,donor_2,1353
cell_01897,B_cell,batch_0,healthy,donor_2,1296
cell_01898,B_cell,batch_0,disease,donor_2,1215
cell_01899,B_cell,batch_0,healthy,donor_1,1295
cell_01900,B_cell,batch_0,disease,donor_1,1468
cell_01901,B_cell,batch_2,disease,donor_0,1248
cell_01902,B_cell,batch_2,healthy,donor_5,1372
cell_01903,B_cell,batch_0,disease,donor_3,1269
cell_01904,B_cell,batch_2,healthy,donor_5,1457
cell_01905,B_cell,batch_2,healthy,donor_3,1319
cell_01906,B_cell,batch_2,healthy,donor_3,1388
cell_01907,B_cell,batch_2,disease,donor_4,1357
cell_01908,B_cell,batch_0,disease,donor_5,1238
cell_01909,B_cell,batch_1,disease,donor_3,1145
cell_01910,B_cell,batch_0,healthy,donor_4,1205
cell_01911,B_cell,batch_2,disease,donor_4,1275
cell_01912,B_cell,batch_2,disease,donor_5,1294
cell_01913,B_cell,batch_2,healthy,donor_2,1433
cell_01914,B_cell,batch_2,healthy,donor_4,1405
cell_01915,B_cell,batch_1,disease,donor_0,1328
cell_01916,B_cell,batch_0,disease,donor_5,1326
cell_01917,B_cell,batch_0,healthy,donor_1,1463
cell_01918,B_cell,batch_1,healthy,donor_3,1292
cell_01919,B_cell,batch_1,disease,donor_4,1343
cell_01920,B_cell,batch_2,healthy,donor_1,1271
cell_01921,B_cell,batch_0,healthy,donor_1,1370
cell_01922,B_cell,batch_0,disease,donor_4,1305
cell_01923,B_cell,batch_0,healthy,donor_3,1272
cell_01924,B_cell,batch_0,disease,donor_2,1492
cell_01925,B_cell,batch_1,healthy,donor_2,1364
cell_01926,B_cell,batch_2,disease,donor_5,1504
cell_01927,B_cell,batch_2,disease,donor_0,1438
cell_01928,B_cell,batch_2,disease,donor_4,1257
cell_01929,B_cell,batch_1,healthy,donor_3,1399
cell_01930,B_cell,batch_2,healthy,donor_5,1372
cell_01931,B_cell,batch_1,healthy,donor_3,1184
